Atlanti's Project Engine Memory Tracker - 0.1A
----------------------------------------------

Logging...


Reporting Leaks...
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dff90.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e490.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e4c0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e4d0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e4e0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e4f0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e500.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e510.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e520.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e540.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e570.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e580.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e590.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e5a0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e5b0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e5e0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e5f0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e600.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e620.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e630.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e640.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e650.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e660.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e670.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e680.
[inc/Array.h]{reserve}(186) 5 bytes leak in adress 0x135e690.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e6a0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e6b0.
[inc/List.h]{Node}(40) 4 bytes leak in adress 0x135e6c0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e6d0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e6e0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e6f0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e700.
